,tic,statpers,fyear,actual,actual_lag1,meanest,medest,numest,stdev,statest,spe.statest,spe.medest,spe.meanest
263,PCP,19130,2013,9.76,8.45,10.07,10.09,24,0.16,9.12659691338385,0.40119947013486,0.1089,0.0961000000000003
264,PG,19221,2013,4.05,3.85,3.9,3.9,22,0.04,3.79798889641975,0.0635095963277362,0.0225,0.0225
265,QCOM,19312,2013,4.51,3.71,4.29,4.29,36,0.09,3.97234501737357,0.289072880343024,0.0483999999999999,0.0483999999999999
266,STR,19039,2013,1.21,1.16,1.2,1.2,9,0.01,1.13600717670439,0.00547493789925523,1e-04,1e-04
267,RPM,19221,2013,1.82,1.65,1.8,1.8,8,0.06,1.73154676675656,0.00782397447121805,0.000400000000000001,0.000400000000000001
268,RMBS,19039,2013,-1.21,-0.39,-0.61,-0.61,1,NA,-1.05031023935724,0.0255008196541427,0.36,0.36
269,RYN,19039,2013,2.17,2.1,2.11,2.1,8,0.08,2.27941114707836,0.0119707991050035,0.00489999999999998,0.00360000000000001
270,RBK,15756,2004,2.43,2.04,2.34,2.35,10,0.02,2.15272210049614,0.0768830335532739,0.00640000000000001,0.00810000000000006
271,RAD,16911,2007,-0.01,0.01,0.01,0.01,8,0.05,-0.124911988147334,0.0132047650199731,4e-04,4e-04
272,RHI,19039,2013,1.55,1.04,1.35,1.35,16,0.06,1.28277377730416,0.0714098540962862,0.04,0.04
273,ROK,19312,2013,5.71,5.21,5.58,5.56,19,0.07,5.53658876511188,0.0300714563854244,0.0225000000000001,0.0169
274,ROH,17212,2008,3.41,3.49,3.58,3.6,16,0.09,3.41127337685557,1.62148861630854e-06,0.0361,0.0289
275,ROL,19039,2013,0.76,0.69,0.75,0.75,3,0.01,0.718676899909081,0.00170759860112415,1e-04,1e-04
276,ROP,19039,2013,4.96,4.34,4.78,4.8,12,0.05,4.79915634232381,0.0258706822146542,0.0256,0.0323999999999999
277,ROST,19067,2013,3.53,2.86,3.3,3.3,27,0.07,3.17774873250289,0.124080955453319,0.0529,0.0529
278,R,19039,2013,4.04,3.49,4.06,4.07,13,0.04,3.83145491578283,0.0434910521511477,0.000900000000000015,0.000399999999999983
279,SEIC,19039,2013,1.18,1.12,1.26,1.25,7,0.04,1.03992210726557,0.0196218160329183,0.00490000000000001,0.00640000000000001
280,SPW,19039,2013,3.49,4.38,4.99,4.9,7,0.18,3.36857517441035,0.0147439882694775,1.9881,2.25
281,SWY,19067,2013,2.15,1.78,1.96,1.95,19,0.08,2.03862371979441,0.0124046757924342,0.04,0.0361
282,STJ,19039,2013,3.48,3.28,3.47,3.47,29,0.04,3.48847262097693,7.17853062187767e-05,9.99999999999957e-05,9.99999999999957e-05
283,SNDK,19039,2013,2.38,4.65,4.71,4.67,19,0.39,4.19855392115798,3.30713836415905,5.2441,5.4289
284,HSIC,19039,2013,4.44,3.97,4.32,4.32,16,0.05,3.94643847115395,0.243602982756851,0.0144,0.0144
285,SGP,17212,2008,1.37,0.85,1.1,1.08,18,0.09,1.14325343400823,0.0514140051890595,0.0841,0.0729
286,SLB,19039,2013,4.17,3.66,4.69,4.67,34,0.15,3.53023277394928,0.409302103528636,0.25,0.2704
287,SCHL,19193,2013,1.27,4.03,2.33,2.33,2,0.18,2.03063904840144,0.578571761953047,1.1236,1.1236
